Ll-wqYoBStwCXBRBbv74,"A man played the guitar.","A man is playing guitar.",1.9504259
NV-yqYoBStwCXBRByf60,"A man played the guitar.","A man is playing a guitar.",1.9449475
L1-wqYoBStwCXBRBxP6y,"A man played the guitar.","A man is playing a guitar.",1.9449475
MF-xqYoBStwCXBRBHP5w,"A man played the guitar.","A man is playing a guitar.",1.9449475
2soBrIoB0BJ1Q3TklgQ1,"A man played the guitar.","A man is playing a guitar.",1.9449475
Sl-5qYoBStwCXBRBff5k,"A man played the guitar.","A man is playing a guitar.",1.9449475
Ul-7qYoBStwCXBRB1P4f,"A man played the guitar.","A man is playing a guitar.",1.9449475
U1-8qYoBStwCXBRBKv4w,"A man played the guitar.","A man is playing a guitar.",1.9449475
3coCrIoB0BJ1Q3TkmASv,"A man played the guitar.","A man is playing the guitar and singing.",1.9309385
N1-zqYoBStwCXBRBdP64,"A man played the guitar.","A man is singing and playing a guitar.",1.9294152
Me7dqYoBt9UxlW-8yp_d,"A man played the guitar.","A man is playing the piano.",1.904037
yCfQqYoBoyxv99w-hib4,"A man played the guitar.","A man is playing a flute.",1.9034367
Kl-vqYoBStwCXBRBDv6z,"A man played the guitar.","A man is playing a harp.",1.9021025
LV-wqYoBStwCXBRBGP7y,"A man played the guitar.","A man is playing the drums.",1.900171
RF-3qYoBStwCXBRBev6n,"A man played the guitar.","A little boy is singing and playing a guitar.",1.8862743
1soArIoB0BJ1Q3TkOwSq,"A man played the guitar.","A person is playing an electronic keyboard.",1.8698382
QF-2qYoBStwCXBRBJf7T,"A man played the guitar.","A  man is dancing.",1.852601
7coHrIoB0BJ1Q3Tk8gQE,"A man played the guitar.","A man is doing trick with play cards.",1.8457642
5coFrIoB0BJ1Q3TkQwTI,"A man played the guitar.","A monkey is playing drums.",1.8438804
OV-0qYoBStwCXBRBJP73,"A man played the guitar.","A man is driving a car.",1.842439
Q1-3qYoBStwCXBRBJf6q,"A man played the guitar.","A man is speaking.",1.8383977
9MoKrIoB0BJ1Q3TkRgTr,"A man played the guitar.","A man is playing a football.",1.8377404
4MoDrIoB0BJ1Q3TkmAS8,"A man played the guitar.","The man is using a camera to hammer a nail.",1.8348053
2coBrIoB0BJ1Q3TkQAQO,"A man played the guitar.","A man is sitting and smoking.",1.8340418
Ml-xqYoBStwCXBRByP5b,"A man played the guitar.","A man is cycling.",1.8319843
6coGrIoB0BJ1Q3TkmwT8,"A man played the guitar.","The men played follow the leader on the grass.",1.8319671
TV-6qYoBStwCXBRBKP5M,"A man played the guitar.","A man is cutting a pipe with scissors.",1.8311985
18oArIoB0BJ1Q3TkkgQG,"A man played the guitar.","A man is holding a leaf.",1.8293726
LF-vqYoBStwCXBRBw_4M,"A man played the guitar.","A man is riding an electric bicycle.",1.827707
QV-2qYoBStwCXBRBe_4c,"A man played the guitar.","A man is riding a motorcycle.",1.8247343
S1-5qYoBStwCXBRB0_5C,"A man played the guitar.","A man is kicking pots of water.",1.8240488
V1-9qYoBStwCXBRBgP7a,"A man played the guitar.","A man is cutting paper with a sword.",1.8236077
VV-8qYoBStwCXBRB1f7v,"A man played the guitar.","A man is opening a door.",1.8235936
SV-5qYoBStwCXBRBJv5u,"A man played the guitar.","A man is eating a food.",1.8227983
28oBrIoB0BJ1Q3Tk7AQC,"A man played the guitar.","A man is standing in front of the window and looking outside.",1.8227425
NF-yqYoBStwCXBRBdP6n,"A man played the guitar.","A man is slicing a tomato.",1.8186009
Vl-9qYoBStwCXBRBK_56,"A man played the guitar.","A man is slicing a tomato.",1.8186009
98oLrIoB0BJ1Q3TkUAQk,"A man played the guitar.","Someone typed on a keyboard.",1.8179781
VF-8qYoBStwCXBRBf_6w,"A man played the guitar.","A man is cutting apple by his hand.",1.8173909
P1-1qYoBStwCXBRB0P4T,"A man played the guitar.","A man is slicing an onion.",1.8145789
J1-uqYoBStwCXBRBDP7q,"A man played the guitar.","A group of men play soccer on the beach.",1.8127122
Pl-1qYoBStwCXBRBev6n,"A man played the guitar.","A man is cutting a potato.",1.8125527
KV-uqYoBStwCXBRBuP7s,"A man played the guitar.","A man is cutting up a cucumber.",1.811785
M1-yqYoBStwCXBRBHf7j,"A man played the guitar.","A man is slicing open a fish.",1.8116293
UF-7qYoBStwCXBRBKf7p,"A man played the guitar.","A man mixes vegetables in a pot.",1.809942
0Mr-q4oB0BJ1Q3TkLgQq,"A man played the guitar.","Some men are sawing.",1.8069912
MV-xqYoBStwCXBRBcv5Q,"A man played the guitar.","A man is cutting an onion.",1.8063282
0cr-q4oB0BJ1Q3TkhQQ4,"A man played the guitar.","A car is driven down the road.",1.8056462
0sr-q4oB0BJ1Q3Tk3wRS,"A man played the guitar.","The man is kissing and hugging the woman.",1.8044238
58oFrIoB0BJ1Q3Tk7gSR,"A man played the guitar.","A woman is dancing.",1.8032064
Wl--qYoBStwCXBRBh_6_,"A man played the guitar.","A woman is dancing.",1.8031888
zsr9q4oB0BJ1Q3TkfQSJ,"A man played the guitar.","A man puts three pieces of meat into a pan.",1.8029664
6MoGrIoB0BJ1Q3TkQwTQ,"A man played the guitar.","A person is drawing on a large touchscreen.",1.8003976
OF-zqYoBStwCXBRBz_7I,"A man played the guitar.","A man attacks a woman.",1.8002405
88oJrIoB0BJ1Q3Tk8QTD,"A man played the guitar.","Two men pushed carts through the woods.",1.8000243
38oDrIoB0BJ1Q3TkQwRK,"A man played the guitar.","People are dancing outside.",1.7990792
5soFrIoB0BJ1Q3TkmQQR,"A man played the guitar.","A man is opening a box and taking out paper.",1.7953656
WV--qYoBStwCXBRBMf5z,"A man played the guitar.","The ballerina is dancing.",1.7943116
1Mr_q4oB0BJ1Q3TkjQQS,"A man played the guitar.","Someone is slicing an onion.",1.7942321
8coJrIoB0BJ1Q3TkRwQx,"A man played the guitar.","Two women are dancing and singing in front of a crowd.",1.7919462
Tl-6qYoBStwCXBRBff6a,"A man played the guitar.","A woman is dancing in the rain.",1.7915978
8soJrIoB0BJ1Q3TknASu,"A man played the guitar.","A man is seasoning some carrots.",1.7915747
08r_q4oB0BJ1Q3TkNgR_,"A man played the guitar.","A train is moving.",1.790888
WF-9qYoBStwCXBRB2f7g,"A man played the guitar.","A boy studies a calendar.",1.7897835
1cr_q4oB0BJ1Q3Tk5ATF,"A man played the guitar.","A woman is playing in the ocean.",1.7894121
78oIrIoB0BJ1Q3TknAQG,"A man played the guitar.","A person is slicing an onion.",1.7892241
4coDrIoB0BJ1Q3Tk7gQ1,"A man played the guitar.","A woman is filing her nails.",1.7887509
5MoErIoB0BJ1Q3Tk7gQt,"A man played the guitar.","A machine is sharpening a pencil.",1.7845185
8MoIrIoB0BJ1Q3Tk8QS_,"A man played the guitar.","A person is peeling a potato with a potato peeler.",1.7826865
3soCrIoB0BJ1Q3Tk7QTs,"A man played the guitar.","A woman opens a window.",1.7809925
Mu7eqYoBt9UxlW-8KJ9K,"A man played the guitar.","A woman is picking a can.",1.780865
UV-7qYoBStwCXBRBf_5J,"A man played the guitar.","A woman is talking on a cell phone.",1.7787583
7soIrIoB0BJ1Q3TkRwQI,"A man played the guitar.","The cat is licking a bottle.",1.778231
RV-3qYoBStwCXBRB0f4V,"A man played the guitar.","A turtle is swimming in water.",1.7774127
O1-0qYoBStwCXBRBz_4R,"A man played the guitar.","The woman is styling her hair.",1.776566
9coKrIoB0BJ1Q3TkpQSv,"A man played the guitar.","The lady peeled the potatoe.",1.7764597
K1-vqYoBStwCXBRBZP70,"A man played the guitar.","A woman is cutting onions.",1.7757071
Ql-2qYoBStwCXBRB0P5e,"A man played the guitar.","A woman is slicing garlics.",1.775366
Nl-zqYoBStwCXBRBH_4t,"A man played the guitar.","A baby panda goes down a slide.",1.7747505
68oHrIoB0BJ1Q3TkRwRS,"A man played the guitar.","A woman peels garlic with her hands.",1.7745824
PF-1qYoBStwCXBRBJf4W,"A man played the guitar.","Two zebras play in an open field.",1.7739652
xifPqYoBoyxv99w-1yZl,"A man played the guitar.","A woman is slicing some tomatoes.",1.7738669
SF-4qYoBStwCXBRB0f4y,"A man played the guitar.","A cat is eating some corn.",1.7730724
Jl-tqYoBStwCXBRBtv7_,"A man played the guitar.","A girl is styling her hair.",1.7724133
4soErIoB0BJ1Q3TkQwSR,"A man played the guitar.","A boy is crawling into a dog house.",1.7718818
T1-6qYoBStwCXBRB1P6w,"A man played the guitar.","A woman is taking a bath.",1.7717582
-MoLrIoB0BJ1Q3TkpQSD,"A man played the guitar.","Three young men run, jump, and kick off of a Coke machine.",1.7709433
xyfQqYoBoyxv99w-LyY5,"A man played the guitar.","A woman is water skiing.",1.7654779
9soKrIoB0BJ1Q3Tk-gR9,"A man played the guitar.","A woman is slicing some tofu.",1.765398
3MoCrIoB0BJ1Q3TkQgT8,"A man played the guitar.","A skunk is looking here and there.",1.7651558
6soGrIoB0BJ1Q3Tk8gQD,"A man played the guitar.","A woman is cracking eggs.",1.764374
z8r9q4oB0BJ1Q3Tk1QRb,"A man played the guitar.","A woman is cutting an onion.",1.7641454
-coLrIoB0BJ1Q3Tk-gTx,"A man played the guitar.","A young Asian girl is applying eyeliner.",1.7626109
2MoArIoB0BJ1Q3Tk6gRm,"A man played the guitar.","A woman is peeling shrimp.",1.7616396
Ol-0qYoBStwCXBRBev4N,"A man played the guitar.","A woman is cutting tofu.",1.7577221
7MoHrIoB0BJ1Q3TknAR4,"A man played the guitar.","The polar bears fought over the kill.",1.7527616
48oErIoB0BJ1Q3TkmASn,"A man played the guitar.","A woman is swimming underwater.",1.7515407
R1-4qYoBStwCXBRBe_4m,"A man played the guitar.","A woman is wrapping tofu.",1.749129
Rl-4qYoBStwCXBRBJv4Z,"A man played the guitar.","A young woman is putting stickers all over her face.",1.7467327
KF-uqYoBStwCXBRBYv64,"A man played the guitar.","One woman is measuring another woman's ankle.",1.7354257
