yCfQqYoBoyxv99w-hib4,"A boy is playing a wooden flute.","A man is playing a flute.",1.9346616
RF-3qYoBStwCXBRBev6n,"A boy is playing a wooden flute.","A little boy is singing and playing a guitar.",1.906056
Kl-vqYoBStwCXBRBDv6z,"A boy is playing a wooden flute.","A man is playing a harp.",1.882554
LV-wqYoBStwCXBRBGP7y,"A boy is playing a wooden flute.","A man is playing the drums.",1.8748665
Me7dqYoBt9UxlW-8yp_d,"A boy is playing a wooden flute.","A man is playing the piano.",1.8696322
1soArIoB0BJ1Q3TkOwSq,"A boy is playing a wooden flute.","A person is playing an electronic keyboard.",1.86483
NV-yqYoBStwCXBRByf60,"A boy is playing a wooden flute.","A man is playing a guitar.",1.8624108
L1-wqYoBStwCXBRBxP6y,"A boy is playing a wooden flute.","A man is playing a guitar.",1.8624108
MF-xqYoBStwCXBRBHP5w,"A boy is playing a wooden flute.","A man is playing a guitar.",1.8624108
2soBrIoB0BJ1Q3TklgQ1,"A boy is playing a wooden flute.","A man is playing a guitar.",1.8624108
Sl-5qYoBStwCXBRBff5k,"A boy is playing a wooden flute.","A man is playing a guitar.",1.8624108
Ul-7qYoBStwCXBRB1P4f,"A boy is playing a wooden flute.","A man is playing a guitar.",1.8624108
U1-8qYoBStwCXBRBKv4w,"A boy is playing a wooden flute.","A man is playing a guitar.",1.8624108
5coFrIoB0BJ1Q3TkQwTI,"A boy is playing a wooden flute.","A monkey is playing drums.",1.8600194
Ll-wqYoBStwCXBRBbv74,"A boy is playing a wooden flute.","A man is playing guitar.",1.8579237
N1-zqYoBStwCXBRBdP64,"A boy is playing a wooden flute.","A man is singing and playing a guitar.",1.8513578
3coCrIoB0BJ1Q3TkmASv,"A boy is playing a wooden flute.","A man is playing the guitar and singing.",1.8458035
WF-9qYoBStwCXBRB2f7g,"A boy is playing a wooden flute.","A boy studies a calendar.",1.8341998
V1-9qYoBStwCXBRBgP7a,"A boy is playing a wooden flute.","A man is cutting paper with a sword.",1.8325415
7coHrIoB0BJ1Q3Tk8gQE,"A boy is playing a wooden flute.","A man is doing trick with play cards.",1.82921
TV-6qYoBStwCXBRBKP5M,"A boy is playing a wooden flute.","A man is cutting a pipe with scissors.",1.8218164
18oArIoB0BJ1Q3TkkgQG,"A boy is playing a wooden flute.","A man is holding a leaf.",1.8216743
4soErIoB0BJ1Q3TkQwSR,"A boy is playing a wooden flute.","A boy is crawling into a dog house.",1.819768
9MoKrIoB0BJ1Q3TkRgTr,"A boy is playing a wooden flute.","A man is playing a football.",1.8112934
Nl-zqYoBStwCXBRBH_4t,"A boy is playing a wooden flute.","A baby panda goes down a slide.",1.8112135
VF-8qYoBStwCXBRBf_6w,"A boy is playing a wooden flute.","A man is cutting apple by his hand.",1.8103416
S1-5qYoBStwCXBRB0_5C,"A boy is playing a wooden flute.","A man is kicking pots of water.",1.8099575
2coBrIoB0BJ1Q3TkQAQO,"A boy is playing a wooden flute.","A man is sitting and smoking.",1.8082831
WV--qYoBStwCXBRBMf5z,"A boy is playing a wooden flute.","The ballerina is dancing.",1.8077435
QF-2qYoBStwCXBRBJf7T,"A boy is playing a wooden flute.","A  man is dancing.",1.8075298
4MoDrIoB0BJ1Q3TkmAS8,"A boy is playing a wooden flute.","The man is using a camera to hammer a nail.",1.8066342
Pl-1qYoBStwCXBRBev6n,"A boy is playing a wooden flute.","A man is cutting a potato.",1.8017379
KV-uqYoBStwCXBRBuP7s,"A boy is playing a wooden flute.","A man is cutting up a cucumber.",1.801512
5MoErIoB0BJ1Q3Tk7gQt,"A boy is playing a wooden flute.","A machine is sharpening a pencil.",1.8014022
5soFrIoB0BJ1Q3TkmQQR,"A boy is playing a wooden flute.","A man is opening a box and taking out paper.",1.8013053
VV-8qYoBStwCXBRB1f7v,"A boy is playing a wooden flute.","A man is opening a door.",1.8012681
6coGrIoB0BJ1Q3TkmwT8,"A boy is playing a wooden flute.","The men played follow the leader on the grass.",1.7994527
OV-0qYoBStwCXBRBJP73,"A boy is playing a wooden flute.","A man is driving a car.",1.79863
RV-3qYoBStwCXBRB0f4V,"A boy is playing a wooden flute.","A turtle is swimming in water.",1.7969949
NF-yqYoBStwCXBRBdP6n,"A boy is playing a wooden flute.","A man is slicing a tomato.",1.796036
Vl-9qYoBStwCXBRBK_56,"A boy is playing a wooden flute.","A man is slicing a tomato.",1.796036
28oBrIoB0BJ1Q3Tk7AQC,"A boy is playing a wooden flute.","A man is standing in front of the window and looking outside.",1.7953329
0Mr-q4oB0BJ1Q3TkLgQq,"A boy is playing a wooden flute.","Some men are sawing.",1.7943649
M1-yqYoBStwCXBRBHf7j,"A boy is playing a wooden flute.","A man is slicing open a fish.",1.7943646
LF-vqYoBStwCXBRBw_4M,"A boy is playing a wooden flute.","A man is riding an electric bicycle.",1.7943062
Ml-xqYoBStwCXBRByP5b,"A boy is playing a wooden flute.","A man is cycling.",1.793818
6MoGrIoB0BJ1Q3TkQwTQ,"A boy is playing a wooden flute.","A person is drawing on a large touchscreen.",1.7934802
Q1-3qYoBStwCXBRBJf6q,"A boy is playing a wooden flute.","A man is speaking.",1.7934533
SV-5qYoBStwCXBRBJv5u,"A boy is playing a wooden flute.","A man is eating a food.",1.7932663
P1-1qYoBStwCXBRB0P4T,"A boy is playing a wooden flute.","A man is slicing an onion.",1.7909497
SF-4qYoBStwCXBRB0f4y,"A boy is playing a wooden flute.","A cat is eating some corn.",1.7897136
7soIrIoB0BJ1Q3TkRwQI,"A boy is playing a wooden flute.","The cat is licking a bottle.",1.7891874
Jl-tqYoBStwCXBRBtv7_,"A boy is playing a wooden flute.","A girl is styling her hair.",1.7883722
MV-xqYoBStwCXBRBcv5Q,"A boy is playing a wooden flute.","A man is cutting an onion.",1.7860243
1Mr_q4oB0BJ1Q3TkjQQS,"A boy is playing a wooden flute.","Someone is slicing an onion.",1.7856061
1cr_q4oB0BJ1Q3Tk5ATF,"A boy is playing a wooden flute.","A woman is playing in the ocean.",1.7847929
58oFrIoB0BJ1Q3Tk7gSR,"A boy is playing a wooden flute.","A woman is dancing.",1.784452
Wl--qYoBStwCXBRBh_6_,"A boy is playing a wooden flute.","A woman is dancing.",1.7843857
78oIrIoB0BJ1Q3TknAQG,"A boy is playing a wooden flute.","A person is slicing an onion.",1.7842847
UF-7qYoBStwCXBRBKf7p,"A boy is playing a wooden flute.","A man mixes vegetables in a pot.",1.7840034
98oLrIoB0BJ1Q3TkUAQk,"A boy is playing a wooden flute.","Someone typed on a keyboard.",1.783845
38oDrIoB0BJ1Q3TkQwRK,"A boy is playing a wooden flute.","People are dancing outside.",1.7833267
0cr-q4oB0BJ1Q3TkhQQ4,"A boy is playing a wooden flute.","A car is driven down the road.",1.7826773
K1-vqYoBStwCXBRBZP70,"A boy is playing a wooden flute.","A woman is cutting onions.",1.7824134
Tl-6qYoBStwCXBRBff6a,"A boy is playing a wooden flute.","A woman is dancing in the rain.",1.7817438
9soKrIoB0BJ1Q3Tk-gR9,"A boy is playing a wooden flute.","A woman is slicing some tofu.",1.7810335
-coLrIoB0BJ1Q3Tk-gTx,"A boy is playing a wooden flute.","A young Asian girl is applying eyeliner.",1.7809236
QV-2qYoBStwCXBRBe_4c,"A boy is playing a wooden flute.","A man is riding a motorcycle.",1.7806271
xyfQqYoBoyxv99w-LyY5,"A boy is playing a wooden flute.","A woman is water skiing.",1.7803178
3MoCrIoB0BJ1Q3TkQgT8,"A boy is playing a wooden flute.","A skunk is looking here and there.",1.7799562
Mu7eqYoBt9UxlW-8KJ9K,"A boy is playing a wooden flute.","A woman is picking a can.",1.7790399
08r_q4oB0BJ1Q3TkNgR_,"A boy is playing a wooden flute.","A train is moving.",1.7787645
3soCrIoB0BJ1Q3Tk7QTs,"A boy is playing a wooden flute.","A woman opens a window.",1.7784433
8MoIrIoB0BJ1Q3Tk8QS_,"A boy is playing a wooden flute.","A person is peeling a potato with a potato peeler.",1.7783206
Ol-0qYoBStwCXBRBev4N,"A boy is playing a wooden flute.","A woman is cutting tofu.",1.778001
PF-1qYoBStwCXBRBJf4W,"A boy is playing a wooden flute.","Two zebras play in an open field.",1.7765739
88oJrIoB0BJ1Q3Tk8QTD,"A boy is playing a wooden flute.","Two men pushed carts through the woods.",1.7760676
4coDrIoB0BJ1Q3Tk7gQ1,"A boy is playing a wooden flute.","A woman is filing her nails.",1.7744063
UV-7qYoBStwCXBRBf_5J,"A boy is playing a wooden flute.","A woman is talking on a cell phone.",1.7742931
zsr9q4oB0BJ1Q3TkfQSJ,"A boy is playing a wooden flute.","A man puts three pieces of meat into a pan.",1.7740085
Ql-2qYoBStwCXBRB0P5e,"A boy is playing a wooden flute.","A woman is slicing garlics.",1.7733619
0sr-q4oB0BJ1Q3Tk3wRS,"A boy is playing a wooden flute.","The man is kissing and hugging the woman.",1.7712827
-MoLrIoB0BJ1Q3TkpQSD,"A boy is playing a wooden flute.","Three young men run, jump, and kick off of a Coke machine.",1.7705243
J1-uqYoBStwCXBRBDP7q,"A boy is playing a wooden flute.","A group of men play soccer on the beach.",1.7704794
